Chave,Tipo de Item,Ano de Publicação,Autor,Título,DOI,Url,Nota Abstracta,Data,Editor,Título_traduzido,Nota Resumo_traduzido
URS3S7X8,conferencePaper,2020.0,"Lukasik, Michal; Bhojanapalli, Srinadh; Menon, Aditya; Kumar, Sanjiv",Does label smoothing mitigate label noise?,,https://proceedings.mlr.press/v119/lukasik20a.html,"Label smoothing is commonly used in training deep learning models, wherein one-hot training labels are mixed with uniform label vectors. Empirically, smoothing has been shown to improve both predictive performance and model calibration. In this paper, we study whether label smoothing is also effective as a means of coping with label noise. While label smoothing apparently amplifies this problem — being equivalent to injecting symmetric noise to the labels — we show how it relates to a general family of loss-correction techniques from the label noise literature. Building on this connection, we show that label smoothing is competitive with loss-correction under label noise. Further, we show that when distilling models from noisy data, label smoothing of the teacher is beneficial; this is in contrast to recent findings for noise-free problems, and sheds further light on settings where label smoothing is beneficial.",2020-11-21,PMLR,A suavização de rótulos mitiga o ruído de rótulos?,"O suavização de rótulos é comumente usada no treinamento de modelos de aprendizado profundo, onde rótulos de treinamento one-hot são misturados com vetores de rótulos uniformes. Empiricamente, a suavização demonstrou melhorar tanto o desempenho preditivo quanto a calibração do modelo. Neste artigo, estudamos se a suavização de rótulos também é eficaz como um meio de lidar com o ruído nos rótulos. Embora a suavização de rótulos aparentemente amplifique esse problema — sendo equivalente a injetar ruído simétrico nos rótulos — mostramos como ela se relaciona a uma família geral de técnicas de correção de perda da literatura sobre ruído nos rótulos. Baseando-se nessa conexão, mostramos que a suavização de rótulos é competitiva com a correção de perda sob ruído nos rótulos. Além disso, mostramos que, ao destilar modelos a partir de dados ruidosos, a suavização de rótulos do professor é benéfica; isso contrasta com descobertas recentes para problemas sem ruído e lança mais luz sobre configurações onde a suavização de rótulos é benéfica."
TZKW4WXL,preprint,2022.0,"Wei, Jiaheng; Liu, Hangyu; Liu, Tongliang; Niu, Gang; Sugiyama, Masashi; Liu, Yang",To Smooth or Not? When Label Smoothing Meets Noisy Labels,10.48550/arXiv.2106.04149,http://arxiv.org/abs/2106.04149,"Label smoothing (LS) is an arising learning paradigm that uses the positively weighted average of both the hard training labels and uniformly distributed soft labels. It was shown that LS serves as a regularizer for training data with hard labels and therefore improves the generalization of the model. Later it was reported LS even helps with improving robustness when learning with noisy labels. However, we observed that the advantage of LS vanishes when we operate in a high label noise regime. Intuitively speaking, this is due to the increased entropy of $\mathbb{P}(\text{noisy label}|X)$ when the noise rate is high, in which case, further applying LS tends to ""over-smooth"" the estimated posterior. We proceeded to discover that several learning-with-noisy-labels solutions in the literature instead relate more closely to negative/not label smoothing (NLS), which acts counter to LS and defines as using a negative weight to combine the hard and soft labels! We provide understandings for the properties of LS and NLS when learning with noisy labels. Among other established properties, we theoretically show NLS is considered more beneficial when the label noise rates are high. We provide extensive experimental results on multiple benchmarks to support our findings too. Code is publicly available at https://github.com/UCSC-REAL/negative-label-smoothing.",2022-06-24,arXiv,Suavizar ou Não? Quando a Suavização de Rótulos Encontra Rótulos Ruins,"A suavização de rótulos (LS) é um paradigma de aprendizado emergente que utiliza a média ponderada positivamente de rótulos de treinamento rígidos e rótulos suaves distribuídos uniformemente. Foi demonstrado que a LS atua como um regularizador para dados de treinamento com rótulos rígidos e, portanto, melhora a generalização do modelo. Posteriormente, foi relatado que a LS até ajuda a melhorar a robustez ao aprender com rótulos ruidosos. No entanto, observamos que a vantagem da LS desaparece quando operamos em um regime de alta taxa de ruído de rótulo. Intuitivamente, isso se deve ao aumento da entropia de $\mathbb{P}(\text{rótulo ruidoso}|X)$ quando a taxa de ruído é alta, caso em que a aplicação adicional da LS tende a ""suavizar demais"" a posteriori estimada. Prosseguimos para descobrir que várias soluções de aprendizado com rótulos ruidosos na literatura se relacionam mais estreitamente com a suavização negativa/não de rótulo (NLS), que age em contraposição à LS e é definida como o uso de um peso negativo para combinar os rótulos rígidos e suaves! Fornecemos compreensões sobre as propriedades da LS e da NLS ao aprender com rótulos ruidosos. Entre outras propriedades estabelecidas, mostramos teoricamente que a NLS é considerada mais benéfica quando as taxas de ruído de rótulo são altas. Também fornecemos resultados experimentais extensivos em múltiplos benchmarks para apoiar nossas descobertas. O código está disponível publicamente em https://github.com/UCSC-REAL/negative-label-smoothing."
MK7N9PJC,conferencePaper,2021.0,"Lison, Pierre; Barnes, Jeremy; Hubin, Aliaksandr",skweak: Weak Supervision Made Easy for NLP,10.18653/v1/2021.acl-demo.40,http://arxiv.org/abs/2104.09683,"We present skweak, a versatile, Python-based software toolkit enabling NLP developers to apply weak supervision to a wide range of NLP tasks. Weak supervision is an emerging machine learning paradigm based on a simple idea: instead of labelling data points by hand, we use labelling functions derived from domain knowledge to automatically obtain annotations for a given dataset. The resulting labels are then aggregated with a generative model that estimates the accuracy (and possible confusions) of each labelling function. The skweak toolkit makes it easy to implement a large spectrum of labelling functions (such as heuristics, gazetteers, neural models or linguistic constraints) on text data, apply them on a corpus, and aggregate their results in a fully unsupervised fashion. skweak is especially designed to facilitate the use of weak supervision for NLP tasks such as text classification and sequence labelling. We illustrate the use of skweak for NER and sentiment analysis. skweak is released under an open-source license and is available at: https://github.com/NorskRegnesentral/skweak",2021,,skweak: Supervisão Fraca Facilitada para PNL,"Apresentamos o skweak, um conjunto de ferramentas de software versátil, baseado em Python, que permite aos desenvolvedores de PNL aplicar supervisão fraca a uma ampla gama de tarefas de PNL. A supervisão fraca é um paradigma emergente de aprendizado de máquina baseado em uma ideia simples: em vez de rotular pontos de dados manualmente, usamos funções de rotulagem derivadas do conhecimento do domínio para obter automaticamente anotações para um determinado conjunto de dados. Os rótulos resultantes são então agregados com um modelo generativo que estima a precisão (e possíveis confusões) de cada função de rotulagem. O conjunto de ferramentas skweak facilita a implementação de um grande espectro de funções de rotulagem (como heurísticas, dicionários, modelos neurais ou restrições linguísticas) em dados textuais, aplicá-las em um corpus e agregar seus resultados de forma totalmente não supervisionada. O skweak é especialmente projetado para facilitar o uso de supervisão fraca para tarefas de PNL, como classificação de texto e rotulagem de sequências. Ilustramos o uso do skweak para NER e análise de sentimentos. O skweak é lançado sob uma licença de código aberto e está disponível em: https://github.com/NorskRegnesentral/skweak"
L6PXDS3Z,preprint,2022.0,"Tunstall, Lewis; Reimers, Nils; Jo, Unso Eun Seo; Bates, Luke; Korat, Daniel; Wasserblat, Moshe; Pereg, Oren",Efficient Few-Shot Learning Without Prompts,10.48550/arXiv.2209.11055,http://arxiv.org/abs/2209.11055,"Recent few-shot methods, such as parameter-efficient fine-tuning (PEFT) and pattern exploiting training (PET), have achieved impressive results in label-scarce settings. However, they are difficult to employ since they are subject to high variability from manually crafted prompts, and typically require billion-parameter language models to achieve high accuracy. To address these shortcomings, we propose SetFit (Sentence Transformer Fine-tuning), an efficient and prompt-free framework for few-shot fine-tuning of Sentence Transformers (ST). SetFit works by first fine-tuning a pretrained ST on a small number of text pairs, in a contrastive Siamese manner. The resulting model is then used to generate rich text embeddings, which are used to train a classification head. This simple framework requires no prompts or verbalizers, and achieves high accuracy with orders of magnitude less parameters than existing techniques. Our experiments show that SetFit obtains comparable results with PEFT and PET techniques, while being an order of magnitude faster to train. We also show that SetFit can be applied in multilingual settings by simply switching the ST body. Our code is available at https://github.com/huggingface/setfit and our datasets at https://huggingface.co/setfit .",2022-09-22,arXiv,Aprendizado Eficiente de Poucos Exemplos Sem Prompts,"Métodos recentes de few-shot, como ajuste fino eficiente em parâmetros (PEFT) e treinamento que explora padrões (PET), alcançaram resultados impressionantes em configurações com escassez de rótulos. No entanto, eles são difíceis de empregar, pois estão sujeitos a alta variabilidade devido a prompts elaborados manualmente e geralmente requerem modelos de linguagem com bilhões de parâmetros para alcançar alta precisão. Para abordar essas limitações, propomos o SetFit (Ajuste Fino de Transformadores de Sentença), uma estrutura eficiente e sem prompts para ajuste fino de poucos exemplos de Transformadores de Sentença (ST). O SetFit funciona primeiro ajustando um ST pré-treinado em um pequeno número de pares de texto, de maneira contrastiva e siamesa. O modelo resultante é então usado para gerar embeddings de texto ricos, que são usados para treinar uma cabeça de classificação. Esta estrutura simples não requer prompts ou verbalizadores e alcança alta precisão com ordens de magnitude menos parâmetros do que as técnicas existentes. Nossos experimentos mostram que o SetFit obtém resultados comparáveis com as técnicas PEFT e PET, enquanto é uma ordem de magnitude mais rápido para treinar. Também mostramos que o SetFit pode ser aplicado em configurações multilíngues simplesmente trocando o corpo do ST. Nosso código está disponível em https://github.com/huggingface/setfit e nossos conjuntos de dados em https://huggingface.co/setfit."
YZ875CN6,preprint,2022.0,"Northcutt, Curtis G.; Jiang, Lu; Chuang, Isaac L.",Confident Learning: Estimating Uncertainty in Dataset Labels,10.48550/arXiv.1911.00068,http://arxiv.org/abs/1911.00068,"Learning exists in the context of data, yet notions of confidence typically focus on model predictions, not label quality. Confident learning (CL) is an alternative approach which focuses instead on label quality by characterizing and identifying label errors in datasets, based on the principles of pruning noisy data, counting with probabilistic thresholds to estimate noise, and ranking examples to train with confidence. Whereas numerous studies have developed these principles independently, here, we combine them, building on the assumption of a class-conditional noise process to directly estimate the joint distribution between noisy (given) labels and uncorrupted (unknown) labels. This results in a generalized CL which is provably consistent and experimentally performant. We present sufficient conditions where CL exactly finds label errors, and show CL performance exceeding seven recent competitive approaches for learning with noisy labels on the CIFAR dataset. Uniquely, the CL framework is not coupled to a specific data modality or model (e.g., we use CL to find several label errors in the presumed error-free MNIST dataset and improve sentiment classification on text data in Amazon Reviews). We also employ CL on ImageNet to quantify ontological class overlap (e.g., estimating 645 ""missile"" images are mislabeled as their parent class ""projectile""), and moderately increase model accuracy (e.g., for ResNet) by cleaning data prior to training. These results are replicable using the open-source cleanlab release.",2022-08-21,arXiv,Aprendizado Confiante: Estimando Incerteza nas Etiquetas de Conjuntos de Dados,"A aprendizagem existe no contexto de dados, no entanto, as noções de confiança geralmente se concentram nas previsões do modelo, e não na qualidade dos rótulos. A aprendizagem confiante (CL) é uma abordagem alternativa que se concentra na qualidade dos rótulos, caracterizando e identificando erros de rótulos em conjuntos de dados, com base nos princípios de poda de dados ruidosos, contando com limiares probabilísticos para estimar o ruído e classificando exemplos para treinar com confiança. Enquanto numerosos estudos desenvolveram esses princípios de forma independente, aqui, combinamos esses princípios, baseando-nos na suposição de um processo de ruído condicional à classe para estimar diretamente a distribuição conjunta entre rótulos ruidosos (dado) e rótulos não corrompidos (desconhecidos). Isso resulta em uma CL generalizada que é provadamente consistente e experimentalmente eficaz. Apresentamos condições suficientes onde a CL encontra exatamente erros de rótulos e mostramos que o desempenho da CL supera sete abordagens competitivas recentes para aprendizagem com rótulos ruidosos no conjunto de dados CIFAR. De forma única, a estrutura da CL não está vinculada a uma modalidade de dados ou modelo específico (por exemplo, usamos CL para encontrar vários erros de rótulos no conjunto de dados MNIST presumidamente livre de erros e melhorar a classificação de sentimentos em dados de texto nas Avaliações da Amazon). Também empregamos CL no ImageNet para quantificar a sobreposição de classes ontológicas (por exemplo, estimando que 645 imagens de ""míssil"" estão rotuladas incorretamente como sua classe pai ""projétil"") e aumentamos moderadamente a precisão do modelo (por exemplo, para ResNet) ao limpar os dados antes do treinamento. Esses resultados são replicáveis usando a versão open-source cleanlab."
JLZ8IBAG,preprint,2020.0,"Mukherjee, Subhabrata; Awadallah, Ahmed Hassan",Uncertainty-aware Self-training for Text Classification with Few Labels,10.48550/arXiv.2006.15315,http://arxiv.org/abs/2006.15315,"Recent success of large-scale pre-trained language models crucially hinge on fine-tuning them on large amounts of labeled data for the downstream task, that are typically expensive to acquire. In this work, we study self-training as one of the earliest semi-supervised learning approaches to reduce the annotation bottleneck by making use of large-scale unlabeled data for the target task. Standard self-training mechanism randomly samples instances from the unlabeled pool to pseudo-label and augment labeled data. In this work, we propose an approach to improve self-training by incorporating uncertainty estimates of the underlying neural network leveraging recent advances in Bayesian deep learning. Specifically, we propose (i) acquisition functions to select instances from the unlabeled pool leveraging Monte Carlo (MC) Dropout, and (ii) learning mechanism leveraging model confidence for self-training. As an application, we focus on text classification on five benchmark datasets. We show our methods leveraging only 20-30 labeled samples per class for each task for training and for validation can perform within 3% of fully supervised pre-trained language models fine-tuned on thousands of labeled instances with an aggregate accuracy of 91% and improving by upto 12% over baselines.",2020-06-27,arXiv,Auto-treinamento ciente da incerteza para classificação de texto com poucas etiquetas,"O sucesso recente de modelos de linguagem pré-treinados em larga escala depende crucialmente do ajuste fino desses modelos em grandes quantidades de dados rotulados para a tarefa subsequente, que normalmente são caros de adquirir. Neste trabalho, estudamos o auto-treinamento como uma das primeiras abordagens de aprendizado semi-supervisionado para reduzir o gargalo de anotação, fazendo uso de dados não rotulados em larga escala para a tarefa-alvo. O mecanismo padrão de auto-treinamento amostra aleatoriamente instâncias do conjunto não rotulado para pseudo-rotular e aumentar os dados rotulados. Neste trabalho, propomos uma abordagem para melhorar o auto-treinamento incorporando estimativas de incerteza da rede neural subjacente, aproveitando os avanços recentes em aprendizado profundo bayesiano. Especificamente, propomos (i) funções de aquisição para selecionar instâncias do conjunto não rotulado aproveitando o Monte Carlo (MC) Dropout, e (ii) um mecanismo de aprendizado aproveitando a confiança do modelo para auto-treinamento. Como aplicação, focamos na classificação de texto em cinco conjuntos de dados de referência. Mostramos que nossos métodos, utilizando apenas 20-30 amostras rotuladas por classe para cada tarefa de treinamento e validação, podem performar dentro de 3% de modelos de linguagem pré-treinados totalmente supervisionados ajustados em milhares de instâncias rotuladas, com uma precisão agregada de 91% e melhorando em até 12% em relação às linhas de base."
5XVEYIA2,journalArticle,2022.0,"Chen, Li-Ming; Xiu, Bao-Xin; Ding, Zhao-Yun",Multiple weak supervision for short text classification,10.1007/s10489-021-02958-3,https://doi.org/10.1007/s10489-021-02958-3,"For short text classification, insufficient labeled data, data sparsity, and imbalanced classification have become three major challenges. For this, we proposed multiple weak supervision, which can label unlabeled data automatically. Different from prior work, the proposed method can generate probabilistic labels through conditional independent model. What’s more, experiments were conducted to verify the effectiveness of multiple weak supervision. According to experimental results on public dadasets, real datasets and synthetic datasets, unlabeled imbalanced short text classification problem can be solved effectively by multiple weak supervision. Notably, without reducing precision, recall, and F1-score can be improved by adding distant supervision clustering, which can be used to meet different application needs.",2022-06-01,,Supervisão fraca múltipla para classificação de textos curtos,"Para a classificação de textos curtos, a escassez de dados rotulados, a escassez de dados e a classificação desbalanceada tornaram-se três grandes desafios. Para isso, propusemos múltiplas supervisões fracas, que podem rotular dados não rotulados automaticamente. Diferente de trabalhos anteriores, o método proposto pode gerar rótulos probabilísticos através de um modelo de independência condicional. Além disso, experimentos foram realizados para verificar a eficácia da múltipla supervisão fraca. De acordo com os resultados experimentais em conjuntos de dados públicos, conjuntos de dados reais e conjuntos de dados sintéticos, o problema da classificação de textos curtos não rotulados e desbalanceados pode ser resolvido efetivamente pela múltipla supervisão fraca. Notavelmente, sem reduzir a precisão, o recall e a F1-score podem ser melhorados ao adicionar agrupamento de supervisão distante, que pode ser utilizado para atender a diferentes necessidades de aplicação."
LWZEPDAT,conferencePaper,2020.0,"Mekala, Dheeraj; Shang, Jingbo",Contextualized Weak Supervision for Text Classification,10.18653/v1/2020.acl-main.30,https://aclanthology.org/2020.acl-main.30,"Weakly supervised text classification based on a few user-provided seed words has recently attracted much attention from researchers. Existing methods mainly generate pseudo-labels in a context-free manner (e.g., string matching), therefore, the ambiguous, context-dependent nature of human language has been long overlooked. In this paper, we propose a novel framework ConWea, providing contextualized weak supervision for text classification. Specifically, we leverage contextualized representations of word occurrences and seed word information to automatically differentiate multiple interpretations of the same word, and thus create a contextualized corpus. This contextualized corpus is further utilized to train the classifier and expand seed words in an iterative manner. This process not only adds new contextualized, highly label-indicative keywords but also disambiguates initial seed words, making our weak supervision fully contextualized. Extensive experiments and case studies on real-world datasets demonstrate the necessity and significant advantages of using contextualized weak supervision, especially when the class labels are fine-grained.",2020-07,Association for Computational Linguistics,Supervisão Fraca Contextualizada para Classificação de Texto,"A classificação de texto com supervisão fraca baseada em algumas palavras-chave fornecidas pelo usuário atraiu recentemente muita atenção dos pesquisadores. Os métodos existentes geram principalmente pseudo-rótulos de maneira independente de contexto (por exemplo, correspondência de strings), portanto, a natureza ambígua e dependente de contexto da linguagem humana tem sido há muito negligenciada. Neste artigo, propomos uma nova estrutura chamada ConWea, que fornece supervisão fraca contextualizada para a classificação de texto. Especificamente, aproveitamos representações contextualizadas das ocorrências de palavras e informações sobre palavras-chave para diferenciar automaticamente múltiplas interpretações da mesma palavra e, assim, criar um corpus contextualizado. Este corpus contextualizado é utilizado para treinar o classificador e expandir as palavras-chave de maneira iterativa. Este processo não apenas adiciona novas palavras-chave contextualizadas e altamente indicativas de rótulos, mas também desambigua as palavras-chave iniciais, tornando nossa supervisão fraca totalmente contextualizada. Experimentos extensivos e estudos de caso em conjuntos de dados do mundo real demonstram a necessidade e as vantagens significativas de usar supervisão fraca contextualizada, especialmente quando os rótulos de classe são finamente detalhados."
B7N6IEUK,preprint,2022.0,"Metzenthin, Emanuel; Bartz, Christian; Meinel, Christoph",Weakly Supervised Scene Text Detection using Deep Reinforcement Learning,10.48550/arXiv.2201.04866,http://arxiv.org/abs/2201.04866,"The challenging field of scene text detection requires complex data annotation, which is time-consuming and expensive. Techniques, such as weak supervision, can reduce the amount of data needed. In this paper we propose a weak supervision method for scene text detection, which makes use of reinforcement learning (RL). The reward received by the RL agent is estimated by a neural network, instead of being inferred from ground-truth labels. First, we enhance an existing supervised RL approach to text detection with several training optimizations, allowing us to close the performance gap to regression-based algorithms. We then use our proposed system in a weakly- and semi-supervised training on real-world data. Our results show that training in a weakly supervised setting is feasible. However, we find that using our model in a semi-supervised setting , e.g. when combining labeled synthetic data with unannotated real-world data, produces the best results.",2022-01-13,arXiv,Detecção de Texto em Cena Supervisionada de Forma Fraca Usando Aprendizado por Reforço Profundo,"O desafiador campo da detecção de texto em cena requer anotação de dados complexa, que é demorada e cara. Técnicas, como supervisão fraca, podem reduzir a quantidade de dados necessária. Neste artigo, propomos um método de supervisão fraca para detecção de texto em cena, que utiliza aprendizado por reforço (RL). A recompensa recebida pelo agente de RL é estimada por uma rede neural, em vez de ser inferida a partir de rótulos verdadeiros. Primeiro, aprimoramos uma abordagem existente de RL supervisionado para detecção de texto com várias otimizações de treinamento, permitindo-nos fechar a lacuna de desempenho em relação a algoritmos baseados em regressão. Em seguida, usamos nosso sistema proposto em um treinamento fraco e semi-supervisionado em dados do mundo real. Nossos resultados mostram que o treinamento em um ambiente de supervisão fraca é viável. No entanto, descobrimos que usar nosso modelo em um ambiente semi-supervisionado, por exemplo, ao combinar dados sintéticos rotulados com dados do mundo real não anotados, produz os melhores resultados."
ZLNIWP78,preprint,2020.0,"Robinson, Joshua; Jegelka, Stefanie; Sra, Suvrit",Strength from Weakness: Fast Learning Using Weak Supervision,,http://arxiv.org/abs/2002.08483,"We study generalization properties of weakly supervised learning. That is, learning where only a few ""strong"" labels (the actual target of our prediction) are present but many more ""weak"" labels are available. In particular, we show that having access to weak labels can significantly accelerate the learning rate for the strong task to the fast rate of $\mathcal{O}(\nicefrac1n)$, where $n$ denotes the number of strongly labeled data points. This acceleration can happen even if by itself the strongly labeled data admits only the slower $\mathcal{O}(\nicefrac{1}{\sqrt{n}})$ rate. The actual acceleration depends continuously on the number of weak labels available, and on the relation between the two tasks. Our theoretical results are reflected empirically across a range of tasks and illustrate how weak labels speed up learning on the strong task.",2020-02-19,arXiv,Força da Fraqueza: Aprendizado Rápido Usando Supervisão Fraca,"Estudamos as propriedades de generalização do aprendizado fraco supervisionado. Ou seja, aprendizado onde apenas algumas ""etiquetas fortes"" (o alvo real da nossa previsão) estão presentes, mas muitas mais ""etiquetas fracas"" estão disponíveis. Em particular, mostramos que ter acesso a etiquetas fracas pode acelerar significativamente a taxa de aprendizado para a tarefa forte para a taxa rápida de $\mathcal{O}(\nicefrac1n)$, onde $n$ denota o número de pontos de dados fortemente rotulados. Essa aceleração pode ocorrer mesmo se, por si só, os dados fortemente rotulados admitirem apenas a taxa mais lenta de $\mathcal{O}(\nicefrac{1}{\sqrt{n}})$. A aceleração real depende continuamente do número de etiquetas fracas disponíveis e da relação entre as duas tarefas. Nossos resultados teóricos são refletidos empiricamente em uma variedade de tarefas e ilustram como as etiquetas fracas aceleram o aprendizado na tarefa forte."
8IMMUIHM,book,2022.0,"Tok, Wee-Hyong; Bahree, Amit; Filipi, Senja",Practical weak supervision: doing more with less data,,,,2022,O'Reilly,Supervisão fraca prática: fazendo mais com menos dados,nan
DD3V83B2,bookSection,2020.0,"Zhang, Minqing; Gao, Jiantao; Lyu, Zhen; Zhao, Weibing; Wang, Qin; Ding, Weizhen; Wang, Sheng; Li, Zhen; Cui, Shuguang",Characterizing Label Errors: Confident Learning for Noisy-Labeled Image Segmentation,,https://link.springer.com/10.1007/978-3-030-59710-8_70,,2020,Springer International Publishing,Caracterizando Erros de Rótulo: Aprendizado Confiante para Segmentação de Imagem com Rótulos Ruins,nan
Z4MB2WAC,journalArticle,2022.0,"Zhang, Jing",Knowledge Learning With Crowdsourcing: A Brief Review and Systematic Perspective,10.1109/JAS.2022.105434,,"Big data have the characteristics of enormous volume, high velocity, diversity, value-sparsity, and uncertainty, which lead the knowledge learning from them full of challenges. With the emergence of crowdsourcing, versatile information can be obtained on-demand so that the wisdom of crowds is easily involved to facilitate the knowledge learning process. During the past thirteen years, researchers in the AI community made great efforts to remove the obstacles in the field of learning from crowds. This concentrated survey paper comprehensively reviews the technical progress in crowdsourcing learning from a systematic perspective that includes three dimensions of data, models, and learning processes. In addition to reviewing existing important work, the paper places a particular emphasis on providing some promising blueprints on each dimension as well as discussing the lessons learned from our past research work, which will light up the way for new researchers and encourage them to pursue new contributions.",2022-05,,Aprendizado de Conhecimento com Crowdsourcing: Uma Breve Revisão e Perspectiva Sistemática,"Os grandes dados têm as características de um volume enorme, alta velocidade, diversidade, escassez de valor e incerteza, o que torna o aprendizado de conhecimento a partir deles cheio de desafios. Com o surgimento do crowdsourcing, informações versáteis podem ser obtidas sob demanda, de modo que a sabedoria das multidões é facilmente envolvida para facilitar o processo de aprendizado de conhecimento. Durante os últimos treze anos, pesquisadores da comunidade de IA fizeram grandes esforços para remover os obstáculos no campo do aprendizado a partir de multidões. Este artigo de pesquisa concentrado revisa de forma abrangente o progresso técnico no aprendizado por meio de crowdsourcing a partir de uma perspectiva sistemática que inclui três dimensões: dados, modelos e processos de aprendizado. Além de revisar trabalhos importantes existentes, o artigo coloca uma ênfase particular em fornecer alguns planos promissores em cada dimensão, bem como discutir as lições aprendidas com nosso trabalho de pesquisa anterior, que iluminará o caminho para novos pesquisadores e os incentivará a buscar novas contribuições."
3IZM6KAA,bookSection,2021.0,"Zhou, Zhi-Hua",Semi-Supervised Learning,,https://link.springer.com/10.1007/978-981-15-1967-3_13,,2021,Springer Singapore,Aprendizado Semi-Supervisionado,nan
QZJYKJ8F,conferencePaper,2021.0,"Yu, Yue; Zuo, Simiao; Jiang, Haoming; Ren, Wendi; Zhao, Tuo; Zhang, Chao",Fine-Tuning Pre-trained Language Model with Weak Supervision: A Contrastive-Regularized Self-Training Approach,10.18653/v1/2021.naacl-main.84,https://aclanthology.org/2021.naacl-main.84,"Fine-tuned pre-trained language models (LMs) have achieved enormous success in many natural language processing (NLP) tasks, but they still require excessive labeled data in the fine-tuning stage. We study the problem of fine-tuning pre-trained LMs using only weak supervision, without any labeled data. This problem is challenging because the high capacity of LMs makes them prone to overfitting the noisy labels generated by weak supervision. To address this problem, we develop a contrastive self-training framework, COSINE, to enable fine-tuning LMs with weak supervision. Underpinned by contrastive regularization and confidence-based reweighting, our framework gradually improves model fitting while effectively suppressing error propagation. Experiments on sequence, token, and sentence pair classification tasks show that our model outperforms the strongest baseline by large margins and achieves competitive performance with fully-supervised fine-tuning methods. Our implementation is available on https://github.com/yueyu1030/COSINE.",2021-06,Association for Computational Linguistics,Ajuste Fino de Modelo de Linguagem Pré-treinado com Supervisão Fraca: Uma Abordagem de Auto-treinamento Regularizada por Contraste,"Modelos de linguagem (LMs) pré-treinados e ajustados finamente alcançaram um enorme sucesso em muitas tarefas de processamento de linguagem natural (NLP), mas ainda requerem dados rotulados excessivos na fase de ajuste fino. Estudamos o problema de ajustar finamente LMs pré-treinados usando apenas supervisão fraca, sem nenhum dado rotulado. Este problema é desafiador porque a alta capacidade dos LMs os torna propensos ao sobreajuste das etiquetas ruidosas geradas pela supervisão fraca. Para abordar esse problema, desenvolvemos uma estrutura de auto-treinamento contrastivo, COSINE, para permitir o ajuste fino de LMs com supervisão fraca. Fundamentada pela regularização contrastiva e reponderação baseada em confiança, nossa estrutura melhora gradualmente o ajuste do modelo enquanto suprime efetivamente a propagação de erros. Experimentos em tarefas de classificação de sequência, token e pares de sentenças mostram que nosso modelo supera a linha de base mais forte por grandes margens e alcança desempenho competitivo com métodos de ajuste fino totalmente supervisionados. Nossa implementação está disponível em https://github.com/yueyu1030/COSINE."
EJH2XBH3,preprint,2022.0,"Wei, Jiaheng; Liu, Hangyu; Liu, Tongliang; Niu, Gang; Sugiyama, Masashi; Liu, Yang",To Smooth or Not? When Label Smoothing Meets Noisy Labels,10.48550/arXiv.2106.04149,http://arxiv.org/abs/2106.04149,"Label smoothing (LS) is an arising learning paradigm that uses the positively weighted average of both the hard training labels and uniformly distributed soft labels. It was shown that LS serves as a regularizer for training data with hard labels and therefore improves the generalization of the model. Later it was reported LS even helps with improving robustness when learning with noisy labels. However, we observed that the advantage of LS vanishes when we operate in a high label noise regime. Intuitively speaking, this is due to the increased entropy of $\mathbb{P}(\text{noisy label}|X)$ when the noise rate is high, in which case, further applying LS tends to ""over-smooth"" the estimated posterior. We proceeded to discover that several learning-with-noisy-labels solutions in the literature instead relate more closely to negative/not label smoothing (NLS), which acts counter to LS and defines as using a negative weight to combine the hard and soft labels! We provide understandings for the properties of LS and NLS when learning with noisy labels. Among other established properties, we theoretically show NLS is considered more beneficial when the label noise rates are high. We provide extensive experimental results on multiple benchmarks to support our findings too. Code is publicly available at https://github.com/UCSC-REAL/negative-label-smoothing.",2022-06-24,arXiv,Suavizar ou Não? Quando a Suavização de Rótulos Encontra Rótulos Ruidosos,"A suavização de rótulos (LS) é um paradigma de aprendizado emergente que utiliza a média ponderada positivamente tanto dos rótulos de treinamento rígidos quanto dos rótulos suaves distribuídos uniformemente. Foi demonstrado que a LS serve como um regularizador para dados de treinamento com rótulos rígidos e, portanto, melhora a generalização do modelo. Mais tarde, foi relatado que a LS até ajuda a melhorar a robustez ao aprender com rótulos ruidosos. No entanto, observamos que a vantagem da LS desaparece quando operamos em um regime de alto ruído de rótulos. Intuitivamente, isso se deve ao aumento da entropia de $\mathbb{P}(\text{rótulo ruidoso}|X)$ quando a taxa de ruído é alta, caso em que a aplicação adicional da LS tende a ""suavizar demais"" a posterior estimada. Prosseguimos para descobrir que várias soluções de aprendizado com rótulos ruidosos na literatura se relacionam mais de perto com a suavização negativa/não de rótulos (NLS), que age em contraposição à LS e define como usar um peso negativo para combinar os rótulos rígidos e suaves! Fornecemos compreensões sobre as propriedades da LS e da NLS ao aprender com rótulos ruidosos. Entre outras propriedades estabelecidas, mostramos teoricamente que a NLS é considerada mais benéfica quando as taxas de ruído de rótulos são altas. Também fornecemos resultados experimentais extensivos em múltiplos benchmarks para apoiar nossas descobertas. O código está disponível publicamente em https://github.com/UCSC-REAL/negative-label-smoothing."
