"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CH6BF2S8","conferencePaper","2013","Roth, Benjamin; Barth, Tassilo; Wiegand, Michael; Klakow, Dietrich","A survey of noise reduction methods for distant supervision","Proceedings of the 2013 workshop on Automated knowledge base construction - AKBC '13","978-1-4503-2411-3","","10.1145/2509558.2509571","http://dl.acm.org/citation.cfm?doid=2509558.2509571","We survey recent approaches to noise reduction in distant supervision learning for relation extraction. We group them according to the principles they are based on: at-least-one constraints, topic-based models, or pattern correlations. Besides describing them, we illustrate the fundamental diﬀerences and attempt to give an outlook to potentially fruitful further research. In addition, we identify related work in sentiment analysis which could proﬁt from approaches to noise reduction.","2013","2024-08-29 02:48:29","2024-08-29 02:48:29","2022-12-30 10:48:31","73-78","","","","","","","","","","","ACM Press","San Francisco, California, USA","en","","","","","DOI.org (Crossref)","","","","C:\Users\frank\Zotero\storage\3RRJXNR6\Roth et al. - 2013 - A survey of noise reduction methods for distant su.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","the 2013 workshop","","","","","","","","","","","","","","",""
"KUE85DEC","journalArticle","2019","Smirnova, Alisa; Cudré-Mauroux, Philippe","Relation Extraction Using Distant Supervision: A Survey","ACM Computing Surveys","","0360-0300, 1557-7341","10.1145/3241741","https://dl.acm.org/doi/10.1145/3241741","Relation extraction is a subtask of information extraction where               semantic relationships               are extracted from natural language text and then classified. In essence, it allows us to acquire structured knowledge from unstructured text. In this article, we present a survey of relation extraction methods that leverage pre-existing structured or semi-structured data to guide the extraction process. We introduce a taxonomy of existing methods and describe distant supervision approaches in detail. We describe, in addition, the evaluation methodologies and the datasets commonly used for quality assessment. Finally, we give a high-level outlook on the field, highlighting open problems as well as the most promising research directions.","2019-09-30","2024-08-29 02:48:30","2024-08-29 02:48:30","2022-12-30 10:48:00","1-35","","5","51","","ACM Comput. Surv.","Relation Extraction Using Distant Supervision","","","","","","","en","","","","","DOI.org (Crossref)","","Number: 5","","C:\Users\frank\Zotero\storage\ZXL9DC4Q\Smirnova e Cudré-Mauroux - 2019 - Relation Extraction Using Distant Supervision A S.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AG56K5QX","conferencePaper","2019","Shi, Yong; Xiao, Yang; Niu, Lingfeng","A Brief Survey of Relation Extraction Based on Distant Supervision","Computational Science – ICCS 2019","978-3-030-22744-9","","10.1007/978-3-030-22744-9_23","","As a core task and important part of Information ExtractionEntity Relation Extraction can realize the identification of the semantic relation between entity pairs. And it plays an important role in semantic understanding of sentences and the construction of entity knowledge base. It has the potential of employing distant supervision method, end-to-end model and other deep learning model with the creation of large datasets. In this review, we compare the contributions and defect of the various models that have been used for the task, to help guide the path ahead.","2019","2024-08-29 02:48:32","2024-08-29 02:48:32","","293-303","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","C:\Users\frank\Zotero\storage\Q2X7ITQF\Shi et al. - 2019 - A Brief Survey of Relation Extraction Based on Dis.pdf","","notion","Deep learning; Distant supervision; Relation extraction","Rodrigues, João M. F.; Cardoso, Pedro J. S.; Monteiro, Jânio; Lam, Roberto; Krzhizhanovskaya, Valeria V.; Lees, Michael H.; Dongarra, Jack J.; Sloot, Peter M.A.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ISMF36G","conferencePaper","2021","Hedderich, Michael A.; Lange, Lukas; Adel, Heike; Strötgen, Jannik; Klakow, Dietrich","A Survey on Recent Approaches for Natural Language Processing in Low-Resource Scenarios","Proceedings of the 2021 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies","","","10.18653/v1/2021.naacl-main.201","https://aclanthology.org/2021.naacl-main.201","Deep neural networks and huge language models are becoming omnipresent in natural language applications. As they are known for requiring large amounts of training data, there is a growing body of work to improve the performance in low-resource settings. Motivated by the recent fundamental changes towards neural models and the popular pre-train and fine-tune paradigm, we survey promising approaches for low-resource natural language processing. After a discussion about the different dimensions of data availability, we give a structured overview of methods that enable learning when training data is sparse. This includes mechanisms to create additional labeled data like data augmentation and distant supervision as well as transfer learning settings that reduce the need for target supervision. A goal of our survey is to explain how these methods differ in their requirements as understanding them is essential for choosing a technique suited for a specific low-resource setting. Further key aspects of this work are to highlight open issues and to outline promising directions for future research.","2021-06","2024-08-29 02:48:33","2024-08-29 02:48:33","2022-12-30 10:46:13","2545–2568","","","","","","","","","","","Association for Computational Linguistics","Online","","","","","","ACLWeb","","","","C:\Users\frank\Zotero\storage\X4CAZ9UH\Hedderich et al. - 2021 - A Survey on Recent Approaches for Natural Language.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NAACL-HLT 2021","","","","","","","","","","","","","","",""
"YYDYU24X","journalArticle","2021","Algan, Görkem; Ulusoy, Ilkay","Image Classification with Deep Learning in the Presence of Noisy Labels: A Survey","Knowledge-Based Systems","","09507051","10.1016/j.knosys.2021.106771","http://arxiv.org/abs/1912.05170","Image classification systems recently made a giant leap with the advancement of deep neural networks. However, these systems require an excessive amount of labeled data to be adequately trained. Gathering a correctly annotated dataset is not always feasible due to several factors, such as the expensiveness of the labeling process or difficulty of correctly classifying data, even for the experts. Because of these practical challenges, label noise is a common problem in real-world datasets, and numerous methods to train deep neural networks with label noise are proposed in the literature. Although deep neural networks are known to be relatively robust to label noise, their tendency to overfit data makes them vulnerable to memorizing even random noise. Therefore, it is crucial to consider the existence of label noise and develop counter algorithms to fade away its adverse effects to train deep neural networks efficiently. Even though an extensive survey of machine learning techniques under label noise exists, the literature lacks a comprehensive survey of methodologies centered explicitly around deep learning in the presence of noisy labels. This paper aims to present these algorithms while categorizing them into one of the two subgroups: noise model based and noise model free methods. Algorithms in the first group aim to estimate the noise structure and use this information to avoid the adverse effects of noisy labels. Differently, methods in the second group try to come up with inherently noise robust algorithms by using approaches like robust losses, regularizers or other learning paradigms.","2021-03","2024-08-29 02:48:35","2024-08-29 02:48:35","2022-12-30 10:45:57","106771","","","215","","Knowledge-Based Systems","Image Classification with Deep Learning in the Presence of Noisy Labels","","","","","","","","","","","","arXiv.org","","arXiv:1912.05170 [cs, stat]","","C:\Users\frank\Zotero\storage\GD3ULLGH\Algan e Ulusoy - 2021 - Image Classification with Deep Learning in the Pre.pdf; C:\Users\frank\Zotero\storage\QPDHH5BR\1912.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YES2Q2X2","webpage","2021","Hedderich, Michael A.","A Visual Guide to Low-Resource NLP","Medium","","","","https://towardsdatascience.com/a-visual-guide-to-low-resource-nlp-d7b4c7b1a4bc","An overview of recent approaches that help you train NLP models if you only have limited amounts of labeled data.","2021-09-07","2024-08-29 02:48:37","2024-08-29 02:48:37","2022-12-30 10:44:29","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\frank\Zotero\storage\7USE32YC\a-visual-guide-to-low-resource-nlp-d7b4c7b1a4bc.html","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KWY3Z769","conferencePaper","2021","Sedova, Anastasiia; Stephan, Andreas; Speranskaya, Marina; Roth, Benjamin","Knodle: Modular Weakly Supervised Learning with PyTorch","Proceedings of the 6th Workshop on Representation Learning for NLP (RepL4NLP-2021)","","","10.18653/v1/2021.repl4nlp-1.12","http://arxiv.org/abs/2104.11557","Strategies for improving the training and prediction quality of weakly supervised machine learning models vary in how much they are tailored to a specific task or integrated with a specific model architecture. In this work, we introduce Knodle, a software framework that treats weak data annotations, deep learning models, and methods for improving weakly supervised training as separate, modular components. This modularization gives the training process access to fine-grained information such as data set characteristics, matches of heuristic rules, or elements of the deep learning model ultimately used for prediction. Hence, our framework can encompass a wide range of training methods for improving weak supervision, ranging from methods that only look at correlations of rules and output classes (independently of the machine learning model trained with the resulting labels), to those that harness the interplay of neural networks and weakly labeled data. We illustrate the benchmarking potential of the framework with a performance comparison of several reference implementations on a selection of datasets that are already available in Knodle. The framework is published as an open-source Python package knodle and available at https://github.com/knodle/knodle.","2021","2024-08-29 02:48:37","2024-08-29 02:48:37","2022-12-30 10:05:47","100-111","","","","","","Knodle","","","","","","","","","","","","arXiv.org","","arXiv:2104.11557 [cs]","","C:\Users\frank\Zotero\storage\V794N3SP\Sedova et al. - 2021 - Knodle Modular Weakly Supervised Learning with Py.pdf; C:\Users\frank\Zotero\storage\FT4R44SQ\2104.html","","notion","Computer Science - Machine Learning; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3W8FBNWW","preprint","2020","Chen, Mayee F.; Fu, Daniel Y.; Sala, Frederic; Wu, Sen; Mullapudi, Ravi Teja; Poms, Fait; Fatahalian, Kayvon; Ré, Christopher","Train and You'll Miss It: Interactive Model Iteration with Weak Supervision and Pre-Trained Embeddings","","","","10.48550/arXiv.2006.15168","http://arxiv.org/abs/2006.15168","Our goal is to enable machine learning systems to be trained interactively. This requires models that perform well and train quickly, without large amounts of hand-labeled data. We take a step forward in this direction by borrowing from weak supervision (WS), wherein models can be trained with noisy sources of signal instead of hand-labeled data. But WS relies on training downstream deep networks to extrapolate to unseen data points, which can take hours or days. Pre-trained embeddings can remove this requirement. We do not use the embeddings as features as in transfer learning (TL), which requires fine-tuning for high performance, but instead use them to define a distance function on the data and extend WS source votes to nearby points. Theoretically, we provide a series of results studying how performance scales with changes in source coverage, source accuracy, and the Lipschitzness of label distributions in the embedding space, and compare this rate to standard WS without extension and TL without fine-tuning. On six benchmark NLP and video tasks, our method outperforms WS without extension by 4.1 points, TL without fine-tuning by 12.8 points, and traditionally-supervised deep networks by 13.1 points, and comes within 0.7 points of state-of-the-art weakly-supervised deep networks-all while training in less than half a second.","2020-06-26","2024-08-29 02:48:39","2024-08-29 02:48:39","2022-12-29 19:40:11","","","","","","","Train and You'll Miss It","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2006.15168 arXiv:2006.15168 [cs, stat]","","C:\Users\frank\Zotero\storage\IAN44RYT\Chen et al. - 2020 - Train and You'll Miss It Interactive Model Iterat.pdf; C:\Users\frank\Zotero\storage\89R67DRL\2006.html","","notion","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2006.15168","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXNN7LMJ","journalArticle","","Ré, Chris","Weak Supervision Overview","","","","","","","","2024-08-29 02:48:42","2024-08-29 02:48:42","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\frank\Zotero\storage\KN644HDU\Ré - Weak Supervision Overview.pdf","","notion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YHJ3IUSM","preprint","2021","Cachay, Salva Rühling; Boecking, Benedikt; Dubrawski, Artur","End-to-End Weak Supervision","","","","10.48550/arXiv.2107.02233","http://arxiv.org/abs/2107.02233","Aggregating multiple sources of weak supervision (WS) can ease the data-labeling bottleneck prevalent in many machine learning applications, by replacing the tedious manual collection of ground truth labels. Current state of the art approaches that do not use any labeled training data, however, require two separate modeling steps: Learning a probabilistic latent variable model based on the WS sources -- making assumptions that rarely hold in practice -- followed by downstream model training. Importantly, the first step of modeling does not consider the performance of the downstream model. To address these caveats we propose an end-to-end approach for directly learning the downstream model by maximizing its agreement with probabilistic labels generated by reparameterizing previous probabilistic posteriors with a neural network. Our results show improved performance over prior work in terms of end model performance on downstream test sets, as well as in terms of improved robustness to dependencies among weak supervision sources.","2021-11-30","2024-08-29 02:48:43","2024-08-29 02:48:43","2022-12-29 17:54:09","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Issue: arXiv:2107.02233 arXiv:2107.02233 [cs, stat]","","C:\Users\frank\Zotero\storage\9IH8QIVN\Cachay et al. - 2021 - End-to-End Weak Supervision.pdf; C:\Users\frank\Zotero\storage\USB3X6LM\2107.html","","notion","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2107.02233","","","","","","","","","","","","","","","","","","","","","","","","","","",""
